model,accuracy,precision,recall,f1_macro
Random Forest (200 ağaç),0.8656934306569343,0.8647594715546594,0.8654603402807487,0.8649439425926055
CART (gini),0.8467153284671532,0.8466202092373111,0.8463413824994356,0.8464692089297415
ID3 (entropy),0.8306569343065694,0.8314768606613291,0.8301719011223113,0.8304167219550462
Lojistik Regresyon,0.7927007299270074,0.7917931164877006,0.7922705990893715,0.7918783927876971
C4.5 (budanmış),0.7927007299270074,0.7896442100849592,0.7921577910340085,0.7904504228784889
k-NN (k=5),0.7737226277372263,0.7748289303805187,0.7732031461804193,0.7739333332216125
K-Means (4 küme),0.4131386861313869,0.32568315871968323,0.41439435170567135,0.3582442770147044
Naive Bayes (Gaussian),0.3678832116788321,0.5898707572620616,0.3704005686728662,0.3246697766806463
